category,discounted_price,original_price,rating,discount_pct,price_ending,pricing_type,units_sold
"Sports, Books and More",1449.0,2899.0,3.8,50.017247326664375,49.0,Other,187
"Sports, Books and More",358.0,999.0,4.1,64.16416416416416,58.0,Other,308
"Sports, Books and More",1793.0,4400.0,4.2,59.25,93.0,Other,499
"Sports, Books and More",294.0,985.0,3.4,70.15228426395939,94.0,Other,165
"Sports, Books and More",3299.0,4499.0,4.6,26.672593909757726,99.0,Charm,191
"Sports, Books and More",1899.0,2999.0,3.9,36.67889296432144,99.0,Charm,486
"Sports, Books and More",1099.0,1599.0,4.0,31.269543464665418,99.0,Charm,183
"Sports, Books and More",1099.0,1510.0,4.3,27.218543046357617,99.0,Charm,271
"Sports, Books and More",2899.0,4499.0,4.2,35.56345854634363,99.0,Charm,390
"Sports, Books and More",1421.0,2999.0,3.3,52.61753917972658,21.0,Other,482
"Sports, Books and More",1315.0,2199.0,3.9,40.20009095043201,15.0,Other,496
"Sports, Books and More",1651.0,2699.0,4.0,38.82919599851797,51.0,Other,348
"Sports, Books and More",1099.0,3999.0,4.2,72.51812953238309,99.0,Charm,212
"Sports, Books and More",929.0,1799.0,4.0,48.36020011117287,29.0,Other,218
"Sports, Books and More",167.0,415.0,4.1,59.75903614457832,67.0,Other,96
"Sports, Books and More",809.0,1999.0,4.0,59.529764882441214,9.0,Other,466
"Sports, Books and More",6299.0,6999.0,4.1,10.001428775539363,99.0,Charm,400
"Sports, Books and More",2199.0,3199.0,4.2,31.259768677711786,99.0,Charm,136
"Sports, Books and More",296.0,999.0,3.5,70.37037037037037,96.0,Other,236
"Sports, Books and More",329.0,599.0,4.2,45.07512520868113,29.0,Other,426
"Sports, Books and More",999.0,1799.0,4.0,44.469149527515285,99.0,Charm,351
"Sports, Books and More",297.0,1000.0,3.7,70.3,97.0,Other,68
"Sports, Books and More",1099.0,1999.0,4.1,45.02251125562781,99.0,Charm,484
"Sports, Books and More",200.0,299.0,3.8,33.11036789297659,0.0,Round,94
"Sports, Books and More",199.0,599.0,3.7,66.7779632721202,99.0,Charm,435
"Sports, Books and More",295.0,998.0,3.8,70.44088176352705,95.0,Other,369
"Sports, Books and More",220.0,349.0,3.8,36.96275071633238,20.0,Other,413
"Sports, Books and More",299.0,799.0,4.0,62.57822277847309,99.0,Charm,255
"Sports, Books and More",799.0,1499.0,4.6,46.6977985323549,99.0,Charm,68
"Sports, Books and More",148.0,249.0,3.8,40.562248995983936,48.0,Other,461
"Sports, Books and More",198.0,499.0,3.5,60.320641282565134,98.0,Other,133
"Sports, Books and More",489.0,749.0,5.0,34.712950600801065,89.0,Other,215
"Sports, Books and More",219.0,349.0,3.7,37.249283667621775,19.0,Other,153
"Sports, Books and More",899.0,,4.1,,99.0,Charm,193
"Sports, Books and More",760.0,895.0,4.5,15.083798882681565,60.0,Other,105
"Sports, Books and More",1399.0,2000.0,4.6,30.049999999999997,99.0,Charm,440
"Sports, Books and More",1098.0,1599.0,4.2,31.33208255159475,98.0,Other,350
"Sports, Books and More",299.0,699.0,4.0,57.224606580829764,99.0,Charm,59
"Sports, Books and More",170.0,499.0,3.8,65.93186372745491,70.0,Other,356
"Sports, Books and More",199.0,499.0,3.6,60.120240480961925,99.0,Charm,50
"Sports, Books and More",2299.0,2999.0,5.0,23.34111370456819,99.0,Charm,94
"Sports, Books and More",1175.0,1197.0,4.2,1.8379281537176273,75.0,Other,374
"Sports, Books and More",299.0,,3.4,,99.0,Charm,320
"Sports, Books and More",225.0,499.0,3.7,54.90981963927856,25.0,Other,167
"Sports, Books and More",799.0,1499.0,4.1,46.6977985323549,99.0,Charm,438
"Sports, Books and More",275.0,,4.2,,75.0,Other,440
"Sports, Books and More",700.0,1899.0,4.1,63.13849394418115,0.0,Round,92
"Sports, Books and More",2526.0,3199.0,4.2,21.037824320100032,26.0,Other,251
"Sports, Books and More",499.0,999.0,3.6,50.050050050050054,99.0,Charm,94
"Sports, Books and More",850.0,897.0,1.0,5.2396878483835,50.0,Other,418
"Sports, Books and More",349.0,999.0,3.9,65.06506506506507,49.0,Other,301
